SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086293
Vbl	tb
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1835	5	25	10	44	0	13.9	Orig=57F|orig.time=Noon
1835	5	26	10	44	0	14.6	Orig=58.2F|orig.time=Noon
1835	5	27	10	45	0	15	Orig=59F|orig.time=Noon
1835	5	29	10	45	0	14.4	Orig=58F|orig.time=Noon
1835	5	31	10	45	0	17	Orig=62.6F|orig.time=Noon
1835	6	1	10	45	0	15.8	Orig=60.5F|orig.time=Noon
1835	6	2	10	45	0	16.2	Orig=61.2F|orig.time=Noon
1835	6	3	10	46	0	17.9	Orig=64.2F|orig.time=Noon
1835	6	4	10	46	0	16.2	Orig=61.2F|orig.time=Noon
1835	6	5	10	46	0	13.8	Orig=56.8F|orig.time=Noon
1835	6	6	10	46	0	14.2	Orig=57.6F|orig.time=Noon
1835	6	7	10	46	0	13.8	Orig=56.8F|orig.time=Noon
1835	6	8	10	46	0	16.2	Orig=61.1F|orig.time=Noon
1835	6	9	10	47	0	15.4	Orig=59.8F|orig.time=Noon
1835	6	10	10	47	0	14.7	Orig=58.5F|orig.time=Noon
1835	6	11	10	47	0	16	Orig=60.8F|orig.time=Noon
1835	6	12	10	47	0	14.9	Orig=58.8F|orig.time=Noon
1835	6	13	10	47	0	14.3	Orig=57.8F|orig.time=Noon
1835	6	14	10	48	0	12	Orig=53.6F|orig.time=Noon
1835	6	15	10	48	0	10.7	Orig=51.2F|orig.time=Noon
1835	6	16	10	48	0	13.6	Orig=56.5F|orig.time=Noon
1835	6	18	10	48	0	13.4	Orig=56.1F|orig.time=Noon
1835	6	19	10	49	0	13.6	Orig=56.4F|orig.time=Noon
1835	6	20	10	49	0	13.6	Orig=56.5F|orig.time=Noon
1835	6	21	10	49	0	11.1	Orig=52F|orig.time=Noon
1835	6	22	10	49	0	11.9	Orig=53.4F|orig.time=Noon
1835	6	25	10	50	0	14.2	Orig=57.5F|orig.time=Noon
1835	6	27	10	50	0	12.7	Orig=54.8F|orig.time=Noon
1835	6	28	10	50	0	14.4	Orig=58F|orig.time=Noon
1835	6	29	10	51	0	17.2	Orig=63F|orig.time=Noon
1835	6	30	10	51	0	14.2	Orig=57.5F|orig.time=Noon
1835	7	4	10	51	0	13.1	Orig=55.5F|orig.time=Noon
1835	7	5	10	52	0	13.6	Orig=56.5F|orig.time=Noon
1835	7	6	10	52	0	14	Orig=57.2F|orig.time=Noon
1835	7	7	10	52	0	15.3	Orig=59.6F|orig.time=Noon
1835	7	9	10	52	0	13.7	Orig=56.7F|orig.time=Noon
1835	7	10	10	52	0	13.3	Orig=56F|orig.time=Noon
1835	7	13	10	53	0	11.1	Orig=52F|orig.time=Noon
1835	7	14	10	53	0	13.3	Orig=56F|orig.time=Noon
1835	7	15	10	53	0	9.2	Orig=48.5F|orig.time=Noon
1835	7	16	10	53	0	10.3	Orig=50.5F|orig.time=Noon
1835	7	17	10	53	0	13.1	Orig=55.5F|orig.time=Noon
1835	7	18	10	53	0	12.8	Orig=55F|orig.time=Noon
1835	7	19	10	53	0	13.9	Orig=57F|orig.time=Noon
1835	7	20	10	53	0	15	Orig=59F|orig.time=Noon
1835	7	21	10	53	0	15.4	Orig=59.8F|orig.time=Noon
1835	7	22	10	53	0	14.4	Orig=58F|orig.time=Noon
1835	7	23	10	53	0	14.3	Orig=57.8F|orig.time=Noon
1835	7	24	5	44	0	12.8	Orig=55F|orig.time=Sunrise
1835	7	24	10	53	0	13.4	Orig=56.2F|orig.time=Noon
1835	7	25	10	53	0	13.1	Orig=55.5F|orig.time=Noon
1835	7	27	10	53	0	10.6	Orig=51F|orig.time=Noon
1835	7	28	10	53	0	13.6	Orig=56.5F|orig.time=Noon
1835	7	29	10	53	0	13.3	Orig=56F|orig.time=Noon
1835	7	31	10	53	0	10.3	Orig=50.5F|orig.time=Noon
1835	8	1	10	53	0	11.8	Orig=53.2F|orig.time=Noon
1835	8	2	10	53	0	13.9	Orig=57F|orig.time=Noon
1835	8	3	10	53	0	18.3	Orig=65F|orig.time=Noon
1835	8	4	10	53	0	11	Orig=51.8F|orig.time=Noon
1835	8	5	10	53	0	14.4	Orig=58F|orig.time=Noon
1835	8	6	10	53	0	13.9	Orig=57.1F|orig.time=Noon
1835	8	7	10	52	0	13.1	Orig=55.5F|orig.time=Noon
1835	8	8	10	52	0	13.9	Orig=57F|orig.time=Noon
1835	8	9	10	52	0	14.2	Orig=57.6F|orig.time=Noon
1835	8	10	10	52	0	14.4	Orig=58F|orig.time=Noon
1835	8	11	10	52	0	14.4	Orig=58F|orig.time=Noon
1835	8	12	10	52	0	11.1	Orig=52F|orig.time=Noon
1835	8	13	10	51	0	13	Orig=55.4F|orig.time=Noon
1835	8	14	10	51	0	13.6	Orig=56.5F|orig.time=Noon
1835	8	15	10	51	0	16.8	Orig=62.2F|orig.time=Noon
1835	8	16	10	51	0	14.9	Orig=58.8F|orig.time=Noon
1835	8	16	16	19	0	14.4	Orig=58F|orig.time=Sunset
1835	8	17	10	51	0	14.4	Orig=58F|orig.time=Noon
1835	8	18	10	50	0	14.4	Orig=58F|orig.time=Noon
1835	8	19	10	50	0	11.7	Orig=53F|orig.time=Noon
1835	8	22	10	49	0	12.8	Orig=55F|orig.time=Noon
1835	8	23	10	49	0	13.7	Orig=56.7F|orig.time=Noon
1835	8	24	10	49	0	11.1	Orig=52F|orig.time=Noon
1835	8	25	10	49	0	13.9	Orig=57F|orig.time=Noon
1835	8	26	10	48	0	12.5	Orig=54.5F|orig.time=Noon
1835	8	29	10	47	0	10.6	Orig=51F|orig.time=Noon
1835	8	30	10	47	0	13.8	Orig=56.8F|orig.time=Noon
1835	8	31	10	47	0	15	Orig=59F|orig.time=Noon
1835	9	1	10	46	0	15.6	Orig=60F|orig.time=Noon
1835	9	2	10	46	0	15	Orig=59F|orig.time=Noon
1835	9	3	10	46	0	13.5	Orig=56.3F|orig.time=Noon
1835	9	8	10	44	0	13.9	Orig=57F|orig.time=Noon
1835	9	10	10	43	0	10	Orig=50F|orig.time=Noon
1835	9	11	10	43	0	12.3	Orig=54.1F|orig.time=Noon
1835	9	13	10	42	0	15.7	Orig=60.2F|orig.time=Noon
1835	9	14	10	42	0	14.4	Orig=58F|orig.time=Noon
1835	9	15	10	41	0	16.9	Orig=62.5F|orig.time=Noon
1835	9	18	10	40	0	10.6	Orig=51F|orig.time=Noon
1835	9	19	10	40	0	10.8	Orig=51.5F|orig.time=Noon
1835	9	20	10	40	0	15	Orig=59F|orig.time=Noon
1835	9	21	10	39	0	12.8	Orig=55F|orig.time=Noon
1835	9	22	10	39	0	12.2	Orig=54F|orig.time=Noon
1835	9	23	10	38	0	14.2	Orig=57.5F|orig.time=Noon
1835	9	24	10	38	0	14.4	Orig=58F|orig.time=Noon
1835	9	25	10	38	0	15	Orig=59F|orig.time=Noon
1835	9	26	10	37	0	16.4	Orig=61.5F|orig.time=Noon
1835	9	27	10	37	0	16.7	Orig=62F|orig.time=Noon
1835	9	28	10	37	0	18.3	Orig=65F|orig.time=Noon
1835	9	29	10	36	0	16.7	Orig=62F|orig.time=Noon
1835	9	30	10	36	0	15.7	Orig=60.2F|orig.time=Noon
1835	10	1	10	36	0	13.6	Orig=56.5F|orig.time=Noon
1835	10	2	10	35	0	16.1	Orig=61F|orig.time=Noon
1835	10	3	10	35	0	15.6	Orig=60F|orig.time=Noon
1835	10	5	10	35	0	14.2	Orig=57.5F|orig.time=Noon
1835	10	6	10	34	0	16.1	Orig=61F|orig.time=Noon
1835	10	7	10	34	0	16.7	Orig=62F|orig.time=Noon
1835	10	8	10	34	0	15.8	Orig=60.4F|orig.time=Noon
1835	10	9	10	33	0	15.6	Orig=60F|orig.time=Noon
1835	10	10	10	33	0	16.3	Orig=61.4F|orig.time=Noon
1835	10	13	10	32	0	13.3	Orig=56F|orig.time=Noon
1835	10	14	10	32	0	15	Orig=59F|orig.time=Noon
1835	10	15	10	32	0	12.3	Orig=54.2F|orig.time=Noon
1835	10	16	10	32	0	13.1	Orig=55.5F|orig.time=Noon
1835	10	17	10	32	0	15.6	Orig=60F|orig.time=Noon
1835	10	19	10	31	0	13.4	Orig=56.2F|orig.time=Noon
1835	10	20	10	31	0	15	Orig=59F|orig.time=Noon
1835	10	23	10	31	0	13.9	Orig=57F|orig.time=Noon
1835	10	24	10	31	0	20.6	Orig=69F|orig.time=Noon
1835	10	25	10	31	0	20.1	Orig=68.2F|orig.time=Noon
1835	10	27	10	31	0	20.7	Orig=69.2F|orig.time=Noon
1835	10	28	10	30	0	17.8	Orig=64F|orig.time=Noon
1835	10	29	10	30	0	15.9	Orig=60.7F|orig.time=Noon
1835	10	31	10	30	0	18.2	Orig=64.8F|orig.time=Noon
1835	11	1	10	30	0	19.4	Orig=67F|orig.time=Noon
1835	11	2	10	30	0	20.8	Orig=69.5F|orig.time=Noon
1835	11	3	10	30	0	20	Orig=68F|orig.time=Noon
1835	11	4	10	31	0	21.1	Orig=70F|orig.time=Noon
1835	11	5	10	31	0	20	Orig=68F|orig.time=Noon
1835	11	6	10	31	0	18.1	Orig=64.5F|orig.time=Noon
1835	11	7	10	31	0	17.3	Orig=63.2F|orig.time=Noon
1835	11	8	10	31	0	15.6	Orig=60F|orig.time=Noon
1835	11	9	10	31	0	15.8	Orig=60.5F|orig.time=Noon
1835	11	10	10	31	0	14.1	Orig=57.3F|orig.time=Noon
1835	11	11	10	31	0	14.7	Orig=58.5F|orig.time=Noon
1835	11	12	10	31	0	13.3	Orig=56F|orig.time=Noon
1835	11	14	10	32	0	16.1	Orig=61F|orig.time=Noon
1835	11	15	10	32	0	18.3	Orig=65F|orig.time=Noon
1835	11	16	10	32	0	16.1	Orig=61F|orig.time=Noon
1835	11	17	10	33	0	15.8	Orig=60.5F|orig.time=Noon
1835	11	18	3	32	0	14.7	Orig=58.5F|orig.time=Sunrise
1835	11	18	10	33	0	16.7	Orig=62F|orig.time=Noon
1835	11	19	10	33	0	17.9	Orig=64.2F|orig.time=Noon
1835	11	20	17	35	0	17.2	Orig=63F|orig.time=Sunset
1835	11	21	10	34	0	20	Orig=68F|orig.time=Noon
1835	11	22	10	34	0	17.9	Orig=64.3F|orig.time=Noon
1835	11	23	10	34	0	18.1	Orig=64.5F|orig.time=Noon
1835	11	24	10	34	0	18.6	Orig=65.5F|orig.time=Noon
1835	11	25	10	35	0	17.8	Orig=64F|orig.time=Noon
1835	11	26	10	35	0	13.9	Orig=57F|orig.time=Noon
1835	11	27	10	36	0	14.4	Orig=58F|orig.time=Noon
1835	11	28	10	36	0	17.8	Orig=64F|orig.time=Noon
1835	11	29	10	36	0	20.3	Orig=68.5F|orig.time=Noon
1835	11	30	10	37	0	19.2	Orig=66.5F|orig.time=Noon
1835	12	1	10	37	0	20.6	Orig=69F|orig.time=Noon
1835	12	2	10	37	0	20	Orig=68F|orig.time=Noon
1835	12	3	10	38	0	20.8	Orig=69.5F|orig.time=Noon
1835	12	4	10	38	0	22.2	Orig=72F|orig.time=Noon
1835	12	5	10	39	0	21.9	Orig=71.5F|orig.time=Noon
1835	12	6	10	39	0	19.4	Orig=67F|orig.time=Noon
1835	12	7	10	40	0	17.3	Orig=63.2F|orig.time=Noon
1835	12	8	10	40	0	17.5	Orig=63.5F|orig.time=Noon
1835	12	9	10	40	0	20.3	Orig=68.5F|orig.time=Noon
1835	12	10	10	41	0	20.9	Orig=69.6F|orig.time=Noon
1835	12	11	10	41	0	21.9	Orig=71.4F|orig.time=Noon
1835	12	12	10	42	0	18.9	Orig=66F|orig.time=Noon
1835	12	13	10	42	0	17.2	Orig=63F|orig.time=Noon
1835	12	14	10	43	0	17.9	Orig=64.2F|orig.time=Noon
1835	12	15	10	43	0	17.9	Orig=64.2F|orig.time=Noon
1835	12	16	10	44	0	17.8	Orig=64F|orig.time=Noon
1835	12	17	10	44	0	19.9	Orig=67.9F|orig.time=Noon
1835	12	18	10	45	0	21.1	Orig=70F|orig.time=Noon
1835	12	19	10	45	0	17	Orig=62.6F|orig.time=Noon
1835	12	20	10	46	0	17.6	Orig=63.6F|orig.time=Noon
1835	12	21	10	46	0	21.1	Orig=70F|orig.time=Noon
1835	12	21	17	58	0	17.2	Orig=62.9F|orig.time=Sunset
1835	12	21	22	46	0	15.9	Orig=60.6F|orig.time=Midnight
1835	12	22	10	47	0	19.5	Orig=67.1F|orig.time=Noon
1835	12	23	10	47	0	20.1	Orig=68.1F|orig.time=Noon
1835	12	24	10	48	0	19.4	Orig=67F|orig.time=Noon
1835	12	25	10	48	0	18.6	Orig=65.4F|orig.time=Noon
1835	12	26	10	48	0	21.1	Orig=70F|orig.time=Noon
1835	12	27	10	49	0	22.2	Orig=72F|orig.time=Noon
1835	12	28	10	49	0	21.7	Orig=71F|orig.time=Noon
1835	12	29	10	50	0	19.2	Orig=66.6F|orig.time=Noon
1835	12	30	10	50	0	16.4	Orig=61.5F|orig.time=Noon
1835	12	30	18	1	0	21.7	Orig=71F|orig.time=Sunset
1835	12	31	10	51	0	17.6	Orig=63.6F|orig.time=Noon
1836	1	1	10	51	0	18.3	Orig=65F|orig.time=Noon
1836	1	2	10	52	0	16.7	Orig=62F|orig.time=Noon
1836	1	4	10	53	0	19.7	Orig=67.5F|orig.time=Noon
1836	1	6	10	53	0	18.7	Orig=65.6F|orig.time=Noon
1836	1	7	10	54	0	17.8	Orig=64F|orig.time=Noon
1836	1	9	10	55	0	17.2	Orig=63F|orig.time=Noon
1836	1	10	10	55	0	17.2	Orig=63F|orig.time=Noon
1836	1	11	10	55	0	19.3	Orig=66.8F|orig.time=Noon
1836	1	12	10	56	0	21.4	Orig=70.5F|orig.time=Noon
1836	1	13	10	56	0	21.1	Orig=70F|orig.time=Noon
1836	1	14	10	56	0	21.3	Orig=70.3F|orig.time=Noon
1836	1	16	10	57	0	22.8	Orig=73F|orig.time=Noon
1836	1	17	10	57	0	19.4	Orig=67F|orig.time=Noon
1836	1	18	10	58	0	20	Orig=68F|orig.time=Noon
1836	1	19	10	58	0	21.3	Orig=70.3F|orig.time=Noon
1836	1	20	10	58	0	23.3	Orig=74F|orig.time=Noon
1836	1	21	10	59	0	20.3	Orig=68.5F|orig.time=Noon
1836	1	22	10	59	0	19.4	Orig=67F|orig.time=Noon
1836	1	23	10	59	0	20.6	Orig=69F|orig.time=Noon
1836	1	24	10	59	0	18.4	Orig=65.2F|orig.time=Noon
1836	1	25	11	0	0	17.7	Orig=63.8F|orig.time=Noon
1836	1	26	11	0	0	20.4	Orig=68.8F|orig.time=Noon
1836	1	27	11	0	0	18.9	Orig=66F|orig.time=Noon
1836	1	28	11	0	0	23.6	Orig=74.5F|orig.time=Noon
1836	1	29	11	0	0	20	Orig=68F|orig.time=Noon
1836	1	30	11	0	0	19.9	Orig=67.9F|orig.time=Noon
1836	1	31	11	1	0	17.8	Orig=64F|orig.time=Noon
1836	2	1	11	1	0	21.3	Orig=70.3F|orig.time=Noon
1836	2	2	11	1	0	24.2	Orig=75.5F|orig.time=Noon
1836	2	4	11	1	0	20	Orig=68F|orig.time=Noon
1836	2	5	11	1	0	18.6	Orig=65.5F|orig.time=Noon
1836	2	6	11	1	0	20.6	Orig=69F|orig.time=Noon
1836	2	7	11	1	0	19.4	Orig=67F|orig.time=Noon
1836	2	9	11	1	0	22.2	Orig=72F|orig.time=Noon
1836	2	11	11	1	0	25	Orig=77F|orig.time=Noon
1836	2	12	11	1	0	21.7	Orig=71F|orig.time=Noon
1836	2	13	11	1	0	22.2	Orig=72F|orig.time=Noon
1836	2	14	11	1	0	18.9	Orig=66F|orig.time=Noon
1836	2	15	11	1	0	19.2	Orig=66.5F|orig.time=Noon
1836	2	16	11	1	0	19.9	Orig=67.8F|orig.time=Noon
1836	2	17	11	1	0	20.6	Orig=69F|orig.time=Noon
1836	2	18	11	1	0	23.3	Orig=74F|orig.time=Noon
1836	2	19	11	1	0	20.1	Orig=68.2F|orig.time=Noon
1836	2	20	11	1	0	20.6	Orig=69F|orig.time=Noon
1836	2	21	11	0	0	20	Orig=68F|orig.time=Noon
1836	2	22	11	0	0	20	Orig=68F|orig.time=Noon
1836	2	23	11	0	0	19.1	Orig=66.3F|orig.time=Noon
1836	2	24	11	0	0	16.9	Orig=62.5F|orig.time=Noon
1836	2	25	11	0	0	19.1	Orig=66.3F|orig.time=Noon
1836	2	26	11	0	0	16.8	Orig=62.3F|orig.time=Noon
1836	2	27	10	59	0	20	Orig=68F|orig.time=Noon
1836	2	29	10	59	0	20	Orig=68F|orig.time=Noon
1836	3	1	10	59	0	22.5	Orig=72.5F|orig.time=Noon
1836	3	2	10	59	0	20.6	Orig=69F|orig.time=Noon
1836	3	3	10	58	0	17.8	Orig=64F|orig.time=Noon
1836	3	4	10	58	0	17.2	Orig=63F|orig.time=Noon
1836	3	7	10	57	0	19.4	Orig=67F|orig.time=Noon
1836	3	9	10	57	0	16.4	Orig=61.5F|orig.time=Noon
1836	3	11	10	56	0	18.3	Orig=65F|orig.time=Noon
1836	3	11	17	7	0	23.3	Orig=74F|orig.time=Sunset
1836	3	12	10	56	0	19.4	Orig=67F|orig.time=Noon
1836	3	14	10	55	0	19.4	Orig=67F|orig.time=Noon
1836	3	15	10	55	0	18.9	Orig=66F|orig.time=Noon
1836	3	16	10	55	0	19.2	Orig=66.5F|orig.time=Noon
1836	3	17	10	54	0	19.8	Orig=67.6F|orig.time=Noon
1836	3	18	10	54	0	18.8	Orig=65.9F|orig.time=Noon
1836	3	20	16	55	0	24.4	Orig=76F|orig.time=Sunset
1836	3	20	22	0	0	18.9	Orig=66F|orig.time=22h00
1836	3	21	0	0	0	18.1	Orig=64.5F|orig.time=00h00
1836	3	21	1	0	0	17.8	Orig=64F|orig.time=01h00
1836	3	21	2	0	0	18.1	Orig=64.5F|orig.time=02h00
1836	3	21	3	0	0	16.7	Orig=62F|orig.time=03h00
1836	3	21	4	0	0	16.6	Orig=61.8F|orig.time=04h00
1836	3	21	5	0	0	15.7	Orig=60.2F|orig.time=05h00
1836	3	21	6	0	0	15.3	Orig=59.5F|orig.time=06h00
1836	3	21	7	0	0	14.4	Orig=58F|orig.time=07h00
1836	3	21	8	0	0	13.9	Orig=57F|orig.time=08h00
1836	3	21	9	0	0	14	Orig=57.2F|orig.time=09h00
1836	3	21	10	0	0	13.6	Orig=56.5F|orig.time=10h00
1836	3	21	11	0	0	13.3	Orig=56F|orig.time=11h00
1836	3	21	12	0	0	12.8	Orig=55F|orig.time=12h00
1836	3	21	13	0	0	12.2	Orig=54F|orig.time=13h00
1836	3	21	14	0	0	11.4	Orig=52.5F|orig.time=14h00
1836	3	21	15	0	0	12.2	Orig=54F|orig.time=15h00
1836	3	21	16	0	0	12.5	Orig=54.5F|orig.time=16h00
1836	3	21	17	0	0	12.8	Orig=55F|orig.time=17h00
1836	3	21	18	0	0	13.3	Orig=56F|orig.time=18h00
1836	3	21	19	0	0	13.3	Orig=56F|orig.time=19h00
1836	3	21	20	0	0	14.2	Orig=57.5F|orig.time=20h00
1836	3	21	21	0	0	15.6	Orig=60F|orig.time=21h00
1836	3	21	22	0	0	16.8	Orig=62.3F|orig.time=22h00
1836	3	21	23	0	0	17.2	Orig=63F|orig.time=23h00
1836	3	22	0	0	0	16.1	Orig=61F|orig.time=00h00
1836	3	22	1	0	0	16.4	Orig=61.5F|orig.time=01h00
1836	3	22	2	0	0	16.4	Orig=61.6F|orig.time=02h00
1836	3	22	3	0	0	16.1	Orig=61F|orig.time=03h00
1836	3	22	4	0	0	15.8	Orig=60.4F|orig.time=04h00
1836	3	22	5	0	0	15.4	Orig=59.8F|orig.time=05h00
1836	3	22	6	0	0	15.1	Orig=59.2F|orig.time=06h00
1836	3	22	7	0	0	14.4	Orig=58F|orig.time=07h00
1836	3	22	8	0	0	13.7	Orig=56.6F|orig.time=08h00
1836	3	22	9	0	0	13.4	Orig=56.1F|orig.time=09h00
1836	3	22	23	0	0	16	Orig=60.8F|orig.time=23h00
1836	3	23	10	52	0	16.8	Orig=62.3F|orig.time=Noon
1836	3	24	10	52	0	17.2	Orig=63F|orig.time=Noon
1836	3	25	10	52	0	13.9	Orig=57F|orig.time=Noon
1836	3	26	10	52	0	17.2	Orig=63F|orig.time=Noon
1836	3	27	10	51	0	18.3	Orig=65F|orig.time=Noon
1836	3	28	10	51	0	14.7	Orig=58.5F|orig.time=Noon
1836	3	29	10	51	0	18.3	Orig=65F|orig.time=Noon
1836	3	31	10	50	0	21.4	Orig=70.6F|orig.time=Noon
1836	4	1	10	50	0	19.2	Orig=66.5F|orig.time=Noon
1836	4	2	10	49	0	15.7	Orig=60.2F|orig.time=Noon
1836	4	7	10	48	0	17.8	Orig=64F|orig.time=Noon
1836	4	8	10	48	0	18.3	Orig=65F|orig.time=Noon
1836	4	9	10	47	0	22.8	Orig=73F|orig.time=Noon
1836	4	11	10	47	0	13.8	Orig=56.8F|orig.time=Noon
1836	4	12	10	47	0	14.4	Orig=58F|orig.time=Noon
1836	4	14	10	46	0	15.4	Orig=59.8F|orig.time=Noon
1836	4	15	10	46	0	15.6	Orig=60F|orig.time=Noon
1836	4	16	10	46	0	16.1	Orig=61F|orig.time=Noon
1836	4	19	10	45	0	13.3	Orig=56F|orig.time=Noon
1836	4	20	10	45	0	12.8	Orig=55F|orig.time=Noon
1836	4	21	10	45	0	15	Orig=59F|orig.time=Noon
1836	4	22	10	45	0	14.6	Orig=58.2F|orig.time=Noon
1836	4	23	10	45	0	15	Orig=59F|orig.time=Noon
1836	4	25	10	44	0	15	Orig=59F|orig.time=Noon
1836	4	26	10	44	0	18.1	Orig=64.5F|orig.time=Noon
1836	4	27	10	44	0	17.3	Orig=63.2F|orig.time=Noon
1836	4	28	10	44	0	16.7	Orig=62F|orig.time=Noon
1836	4	29	10	44	0	15	Orig=59F|orig.time=Noon
1836	4	30	10	44	0	14.9	Orig=58.8F|orig.time=Noon
1836	5	3	10	43	0	12.2	Orig=53.9F|orig.time=Noon
1836	5	6	10	43	0	13.9	Orig=57F|orig.time=Noon
