SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	Tn
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1834	5	28	0543	13	10.1	Orig=50F,t=Sunrise
1834	5	29	0543	13	6.1	Orig=43F,t=Sunrise
1834	5	30	0544	13	10.6	Orig=51F,t=Sunrise
1834	5	31	0545	13	11.1	Orig=52F,t=Sunrise
1834	6	1	0545	13	5	Orig=41F,t=Sunrise
1834	6	3	0546	13	5.6	Orig=42F,t=Sunrise
1834	6	4	0547	13	10.7	Orig=51F,t=Sunrise
1834	6	5	0547	13	9.2	Orig=48F,t=Sunrise
1834	6	6	0548	13	9.2	Orig=48F,t=Sunrise
1834	6	7	0548	13	10	Orig=50F,t=Sunrise
1834	6	8	0549	13	7.9	Orig=46F,t=Sunrise
1834	6	9	0549	13	7.6	Orig=46F,t=Sunrise
1834	6	10	0549	13	7.5	Orig=46F,t=Sunrise
1834	6	11	0550	13	10.9	Orig=52F,t=Sunrise
1834	6	13	0550	13	9	Orig=48F,t=Sunrise
1834	6	19	0552	13	3.3	Orig=38F,t=Sunrise
1834	6	20	0552	13	3.8	Orig=39F,t=Sunrise
1834	6	22	0552	13	6.9	Orig=44F,t=Sunrise
1834	6	24	0553	13	5.9	Orig=43F,t=Sunrise
1834	6	25	0553	13	12.2	Orig=54F,t=Sunrise
1834	7	1	0553	13	2.2	Orig=36F,t=Sunrise
1834	7	3	0552	13	9.4	Orig=49F,t=Sunrise
1834	7	7	0551	13	6.7	Orig=44F,t=Sunrise
1834	7	11	0550	13	5.7	Orig=42F,t=Sunrise
1834	7	12	0550	13	8.1	Orig=46F,t=Sunrise
1834	7	15	0549	13	2.5	Orig=36F,t=Sunrise
1834	7	16	0548	13	6.1	Orig=43F,t=Sunrise
1834	7	21	0545	13	3.3	Orig=38F,t=Sunrise
1834	7	27	0541	13	3.3	Orig=38F,t=Sunrise
1834	7	28	0540	13	6.7	Orig=44F,t=Sunrise
1834	9	21	0434	13	5.8	Orig=42F,t=Sunrise
1835	1	18	0357	13	17.8	Orig=64F,t=Sunrise
1835	1	19	0358	13	18.1	Orig=64F,t=Sunrise
1835	1	20	0359	13	17.2	Orig=63F,t=Sunrise
1835	1	21	0400	13	18.1	Orig=64F,t=Sunrise
1835	1	23	0402	13	16.4	Orig=62F,t=Sunrise
1835	1	24	0403	13	17.1	Orig=63F,t=Sunrise
1835	1	25	0404	13	18.3	Orig=65F,t=Sunrise
1835	1	26	0405	13	16.7	Orig=62F,t=Sunrise
1835	1	27	0406	13	14.4	Orig=58F,t=Sunrise
1835	1	28	0407	13	15.6	Orig=60F,t=Sunrise
1835	1	29	0408	13	15.6	Orig=60F,t=Sunrise
1835	1	30	0409	13	16.9	Orig=62F,t=Sunrise
1835	1	31	0410	13	15.3	Orig=60F,t=Sunrise
1835	2	1	0411	13	15.1	Orig=59F,t=Sunrise
1835	2	2	0412	13	15.3	Orig=60F,t=Sunrise
1835	2	3	0413	13	14.4	Orig=58F,t=Sunrise
1835	2	4	0414	13	14	Orig=57F,t=Sunrise
1835	2	5	0415	13	12	Orig=54F,t=Sunrise
1835	2	6	0416	13	12.3	Orig=54F,t=Sunrise
1835	2	7	0417	13	15.8	Orig=60F,t=Sunrise
1835	2	8	0418	13	16.9	Orig=62F,t=Sunrise
1835	2	9	0419	13	13.3	Orig=56F,t=Sunrise
1835	2	10	0420	13	12.9	Orig=55F,t=Sunrise
1835	2	11	0421	13	14.2	Orig=58F,t=Sunrise
1835	2	12	0422	13	14.4	Orig=58F,t=Sunrise
1835	2	13	0423	13	14.7	Orig=58F,t=Sunrise
1835	2	14	0423	13	16.9	Orig=62F,t=Sunrise
1835	2	15	0424	13	16.9	Orig=62F,t=Sunrise
1835	2	16	0425	13	17.3	Orig=63F,t=Sunrise
1835	2	17	0426	13	17.2	Orig=63F,t=Sunrise
1835	2	18	0427	13	19.7	Orig=68F,t=Sunrise
1835	2	19	0428	13	17.8	Orig=64F,t=Sunrise
1835	2	20	0429	13	18.9	Orig=66F,t=Sunrise
1835	2	21	0430	13	14.2	Orig=58F,t=Sunrise
1835	2	22	0431	13	14.1	Orig=57F,t=Sunrise
1835	2	23	0432	13	16.7	Orig=62F,t=Sunrise
1835	2	24	0433	13	17.2	Orig=63F,t=Sunrise
1835	2	25	0433	13	15	Orig=59F,t=Sunrise
1835	2	26	0434	13	15	Orig=59F,t=Sunrise
1835	2	27	0435	13	15	Orig=59F,t=Sunrise
1835	2	28	0436	13	13.6	Orig=56F,t=Sunrise
1835	3	1	0437	13	16.1	Orig=61F,t=Sunrise
1835	3	2	0438	13	15.3	Orig=60F,t=Sunrise
1835	3	3	0438	13	15	Orig=59F,t=Sunrise
1835	3	4	0439	13	16.1	Orig=61F,t=Sunrise
1835	3	5	0440	13	18.3	Orig=65F,t=Sunrise
1835	3	6	0441	13	13.3	Orig=56F,t=Sunrise
1835	3	7	0442	13	15.8	Orig=60F,t=Sunrise
1835	3	8	0443	13	14.4	Orig=58F,t=Sunrise
1835	3	9	0443	13	15	Orig=59F,t=Sunrise
1835	3	10	0444	13	16.9	Orig=62F,t=Sunrise
1835	3	11	0445	13	13.9	Orig=57F,t=Sunrise
1835	3	12	0446	13	14.4	Orig=58F,t=Sunrise
1835	3	13	0446	13	15.6	Orig=60F,t=Sunrise
1835	3	14	0447	13	13.1	Orig=56F,t=Sunrise
1835	3	15	0448	13	18.1	Orig=64F,t=Sunrise
1835	3	16	0449	13	18.6	Orig=66F,t=Sunrise
1835	3	17	0449	13	16.4	Orig=62F,t=Sunrise
1835	3	18	0450	13	16.6	Orig=62F,t=Sunrise
1835	3	19	0451	13	16.7	Orig=62F,t=Sunrise
1835	3	20	0452	13	15.6	Orig=60F,t=Sunrise
1835	3	21	0452	13	16.4	Orig=62F,t=Sunrise
1835	3	22	0453	13	13.6	Orig=56F,t=Sunrise
1835	3	23	0646	13	15	Orig=59F
1835	3	24	0455	13	13.3	Orig=56F,t=Sunrise
1835	3	25	0455	13	15.6	Orig=60F,t=Sunrise
1835	3	26	0456	13	15.3	Orig=60F,t=Sunrise
1835	3	27	0457	13	12.6	Orig=55F,t=Sunrise
1835	3	28	0458	13	14.4	Orig=58F,t=Sunrise
1835	3	29	0458	13	13.4	Orig=56F,t=Sunrise
1835	3	30	0459	13	13.5	Orig=56F,t=Sunrise
1835	3	31	0500	13	12.2	Orig=54F,t=Sunrise
1835	4	1	0501	13	12.2	Orig=54F,t=Sunrise
1835	4	2	0501	13	10	Orig=50F,t=Sunrise
1835	4	3	0502	13	10.1	Orig=50F,t=Sunrise
1835	4	4	0503	13	14.7	Orig=58F,t=Sunrise
1835	4	5	0504	13	13	Orig=55F,t=Sunrise
1835	4	6	0504	13	11.3	Orig=52F,t=Sunrise
1835	4	8	0506	13	11.7	Orig=53F,t=Sunrise
1835	4	9	0507	13	14.7	Orig=58F,t=Sunrise
1835	4	10	0507	13	15	Orig=59F,t=Sunrise
1835	4	11	0508	13	11.4	Orig=52F,t=Sunrise
1835	4	12	0509	13	11.7	Orig=53F,t=Sunrise
1835	4	13	0510	13	10.8	Orig=51F,t=Sunrise
1835	4	14	0510	13	5.9	Orig=43F,t=Sunrise
1835	4	15	0511	13	7.2	Orig=45F,t=Sunrise
1835	4	16	0512	13	7.2	Orig=45F,t=Sunrise
1835	4	17	0513	13	12.5	Orig=54F,t=Sunrise
1835	4	18	0513	13	12.2	Orig=54F,t=Sunrise
1835	4	19	0514	13	12.5	Orig=54F,t=Sunrise
1835	4	20	0515	13	7.1	Orig=45F,t=Sunrise
1835	4	21	0516	13	9.2	Orig=48F,t=Sunrise
1835	4	22	0516	13	6.4	Orig=44F,t=Sunrise
1835	4	23	0517	13	11.7	Orig=53F,t=Sunrise
1835	4	24	0518	13	11.9	Orig=53F,t=Sunrise
1835	4	27	0520	13	11.1	Orig=52F,t=Sunrise
1835	4	28	0521	13	11.9	Orig=54F,t=Sunrise
1835	4	29	0522	13	13.1	Orig=56F,t=Sunrise
1835	4	30	0523	13	13.6	Orig=56F,t=Sunrise
1835	5	1	0523	13	10	Orig=50F,t=Sunrise
1835	5	2	0524	13	7.8	Orig=46F,t=Sunrise
1835	5	3	0525	13	7.5	Orig=46F,t=Sunrise
1835	5	4	0526	13	11.1	Orig=52F,t=Sunrise
1835	5	5	0526	13	13.9	Orig=57F,t=Sunrise
1835	5	9	0529	13	11	Orig=52F,t=Sunrise
1835	5	11	0531	13	5.6	Orig=42F,t=Sunrise
1835	5	12	0532	13	13.3	Orig=56F,t=Sunrise
1835	5	13	0532	13	11.1	Orig=52F,t=Sunrise
1835	5	15	0534	13	10.4	Orig=51F,t=Sunrise
1835	5	16	0535	13	8.6	Orig=48F,t=Sunrise
1835	5	17	0535	13	8.7	Orig=48F,t=Sunrise
1835	5	18	0536	13	8.6	Orig=48F,t=Sunrise
1835	5	19	0537	13	9.4	Orig=49F,t=Sunrise
1835	5	20	0537	13	10.2	Orig=50F,t=Sunrise
1835	5	22	0539	13	11.9	Orig=54F,t=Sunrise
1835	5	23	0540	13	7.6	Orig=46F,t=Sunrise
1835	5	25	0541	13	6.4	Orig=44F,t=Sunrise
1835	5	26	0541	13	11.1	Orig=52F,t=Sunrise
1835	5	27	0542	13	10.7	Orig=51F,t=Sunrise
1835	5	28	0543	13	10	Orig=50F,t=Sunrise
1835	5	29	0543	13	13.1	Orig=56F,t=Sunrise
1835	5	30	0544	13	6.1	Orig=43F,t=Sunrise
1835	6	1	0545	13	13.3	Orig=56F,t=Sunrise
1835	6	2	0546	13	11	Orig=52F,t=Sunrise
1835	6	3	0546	13	8.1	Orig=46F,t=Sunrise
1835	6	4	0547	13	10.4	Orig=51F,t=Sunrise
1835	6	5	0547	13	11.1	Orig=52F,t=Sunrise
1835	6	6	0548	13	6.9	Orig=44F,t=Sunrise
1835	6	7	0548	13	7.7	Orig=46F,t=Sunrise
1835	6	8	0548	13	11.1	Orig=52F,t=Sunrise
1835	6	9	0549	13	14.8	Orig=59F,t=Sunrise
1835	6	10	0549	13	5.8	Orig=42F,t=Sunrise
1835	6	12	0550	13	10.6	Orig=51F,t=Sunrise
1835	6	13	0550	13	9.3	Orig=49F,t=Sunrise
1835	6	14	0551	13	12.8	Orig=55F,t=Sunrise
1835	6	16	0551	13	11.1	Orig=52F,t=Sunrise
1835	6	17	0552	13	6.8	Orig=44F,t=Sunrise
1835	6	18	0552	13	4.9	Orig=41F,t=Sunrise
1835	6	19	0552	13	5.6	Orig=42F,t=Sunrise
1835	6	20	0552	13	11.7	Orig=53F,t=Sunrise
1835	6	21	0552	13	11.1	Orig=52F,t=Sunrise
1835	6	22	0552	13	9.7	Orig=50F,t=Sunrise
1835	6	23	0553	13	6.3	Orig=43F,t=Sunrise
1835	6	24	0553	13	8.3	Orig=47F,t=Sunrise
1835	6	25	0553	13	10	Orig=50F,t=Sunrise
1835	6	26	0553	13	6	Orig=43F,t=Sunrise
1835	6	27	0553	13	6.9	Orig=44F,t=Sunrise
1835	6	28	0553	13	9.2	Orig=48F,t=Sunrise
1835	6	29	0553	13	12.2	Orig=54F,t=Sunrise
1835	6	30	0553	13	9.4	Orig=49F,t=Sunrise
1835	7	1	0553	13	9.6	Orig=49F,t=Sunrise
1835	7	2	0552	13	9	Orig=48F,t=Sunrise
1835	7	4	0552	13	6	Orig=43F,t=Sunrise
1835	7	5	0552	13	5.3	Orig=42F,t=Sunrise
1835	7	6	0552	13	6.7	Orig=44F,t=Sunrise
1835	7	7	0552	13	14.2	Orig=58F,t=Sunrise
1835	7	8	0551	13	15.6	Orig=60F,t=Sunrise
1835	7	9	0551	13	12.3	Orig=54F,t=Sunrise
1835	7	10	0551	13	9.4	Orig=49F,t=Sunrise
1835	7	11	0550	13	11.9	Orig=54F,t=Sunrise
1835	7	12	0550	13	11.1	Orig=52F,t=Sunrise
1835	7	13	0550	13	10.8	Orig=52F,t=Sunrise
1835	7	14	0549	13	7.8	Orig=46F,t=Sunrise
1835	7	15	0549	13	4	Orig=39F,t=Sunrise
1835	7	16	0548	13	3.1	Orig=38F,t=Sunrise
1835	7	17	0548	13	5.6	Orig=42F,t=Sunrise
1835	7	18	0547	13	11.1	Orig=52F,t=Sunrise
1835	7	19	0547	13	10.3	Orig=50F,t=Sunrise
1835	7	20	0546	13	8.6	Orig=48F,t=Sunrise
1835	7	21	0545	13	8.9	Orig=48F,t=Sunrise
1835	7	22	0545	13	6.1	Orig=43F,t=Sunrise
1835	7	23	0544	13	8.3	Orig=47F,t=Sunrise
1835	7	24	0544	13	8.6	Orig=48F,t=Sunrise
1835	7	25	0543	13	11.7	Orig=53F,t=Sunrise
1835	7	26	0542	13	8.3	Orig=47F,t=Sunrise
1835	7	27	0541	13	8.9	Orig=48F,t=Sunrise
1835	7	28	0541	13	4.4	Orig=40F,t=Sunrise
1835	7	29	0540	13	4.2	Orig=40F,t=Sunrise
1835	7	30	0539	13	11.4	Orig=52F,t=Sunrise
1835	7	31	0538	13	9.7	Orig=50F,t=Sunrise
1835	8	1	0537	13	8.9	Orig=48F,t=Sunrise
1835	8	2	0537	13	5.6	Orig=42F,t=Sunrise
1835	8	3	0536	13	4.4	Orig=40F,t=Sunrise
1835	8	4	0535	13	6.1	Orig=43F,t=Sunrise
1835	8	5	0534	13	11.7	Orig=53F,t=Sunrise
1835	8	6	0533	13	11.7	Orig=53F,t=Sunrise
1835	8	7	0532	13	9.4	Orig=49F,t=Sunrise
1835	8	8	0531	13	8.3	Orig=47F,t=Sunrise
1835	8	9	0530	13	6.7	Orig=44F,t=Sunrise
1835	8	10	0529	13	5.6	Orig=42F,t=Sunrise
1835	8	11	0528	13	10	Orig=50F,t=Sunrise
1835	8	12	0527	13	5.8	Orig=42F,t=Sunrise
1835	8	13	0526	13	3.9	Orig=39F,t=Sunrise
1835	8	14	0525	13	9.4	Orig=49F,t=Sunrise
1835	8	15	0523	13	7.8	Orig=46F,t=Sunrise
1835	8	16	0522	13	7.8	Orig=46F,t=Sunrise
1835	8	17	0521	13	12.2	Orig=54F,t=Sunrise
1835	8	18	0520	13	10.6	Orig=51F,t=Sunrise
1835	8	19	0519	13	5.6	Orig=42F,t=Sunrise
1835	8	20	0518	13	11.1	Orig=52F,t=Sunrise
1835	8	21	0516	13	12.8	Orig=55F,t=Sunrise
1835	8	22	0515	13	9.2	Orig=49F,t=Sunrise
1835	8	23	0514	13	6.9	Orig=44F,t=Sunrise
1835	8	24	0513	13	5.6	Orig=42F,t=Sunrise
1835	8	25	0512	13	8.3	Orig=47F,t=Sunrise
1835	8	26	0510	13	10	Orig=50F,t=Sunrise
1835	8	27	0509	13	8.9	Orig=48F,t=Sunrise
1835	8	28	0508	13	5.6	Orig=42F,t=Sunrise
1835	8	29	0506	13	7.2	Orig=45F,t=Sunrise
1835	8	30	0505	13	10	Orig=50F,t=Sunrise
1835	8	31	0504	13	11.7	Orig=53F,t=Sunrise
1835	9	1	0502	13	10.6	Orig=51F,t=Sunrise
1835	9	2	0501	13	11.7	Orig=53F,t=Sunrise
1835	9	4	0458	13	11.4	Orig=52F,t=Sunrise
1835	9	5	0457	13	10.6	Orig=51F,t=Sunrise
1835	9	6	0456	13	11.1	Orig=52F,t=Sunrise
1835	9	7	0454	13	11.4	Orig=52F,t=Sunrise
1835	9	8	0453	13	9.3	Orig=49F,t=Sunrise
1835	9	9	0451	13	10	Orig=50F,t=Sunrise
1835	9	10	0450	13	5.6	Orig=42F,t=Sunrise
1835	9	11	0449	13	7.8	Orig=46F,t=Sunrise
1835	9	12	0447	13	11.1	Orig=52F,t=Sunrise
1835	9	13	0446	13	11.7	Orig=53F,t=Sunrise
1835	9	14	0444	13	13.3	Orig=56F,t=Sunrise
1835	9	15	0443	13	10.8	Orig=52F,t=Sunrise
1835	9	16	0442	13	11.1	Orig=52F,t=Sunrise
1835	9	18	0439	13	7.8	Orig=46F,t=Sunrise
1835	9	19	0437	13	9.4	Orig=49F,t=Sunrise
1835	9	20	0436	13	6.4	Orig=44F,t=Sunrise
1835	9	22	0433	13	9.2	Orig=49F,t=Sunrise
1835	9	23	0432	13	8.9	Orig=48F,t=Sunrise
1835	9	24	0430	13	9.4	Orig=49F,t=Sunrise
1835	9	25	0429	13	10.6	Orig=51F,t=Sunrise
1835	9	26	0428	13	13.9	Orig=57F,t=Sunrise
1835	9	27	0426	13	14.4	Orig=58F,t=Sunrise
1835	9	28	0425	13	13.3	Orig=56F,t=Sunrise
1835	9	29	0423	13	15.6	Orig=60F,t=Sunrise
1835	9	30	0422	13	13.9	Orig=57F,t=Sunrise
1835	10	1	0421	13	11.7	Orig=53F,t=Sunrise
1835	10	2	0419	13	12.8	Orig=55F,t=Sunrise
1835	10	3	0418	13	13.9	Orig=57F,t=Sunrise
1835	10	4	0417	13	11.7	Orig=53F,t=Sunrise
1835	10	5	0415	13	11.7	Orig=53F,t=Sunrise
1835	10	6	0414	13	9.4	Orig=49F,t=Sunrise
1835	10	7	0413	13	10	Orig=50F,t=Sunrise
1835	10	8	0411	13	13.1	Orig=56F,t=Sunrise
1835	10	9	0410	13	12.8	Orig=55F,t=Sunrise
1835	10	10	0409	13	12.2	Orig=54F,t=Sunrise
1835	10	11	0407	13	7.8	Orig=46F,t=Sunrise
1835	10	12	0406	13	12.8	Orig=55F,t=Sunrise
1835	10	13	0405	13	9.4	Orig=49F,t=Sunrise
1835	10	14	0404	13	10.8	Orig=52F,t=Sunrise
1835	10	15	0402	13	11.7	Orig=53F,t=Sunrise
1835	10	16	0401	13	8.1	Orig=46F,t=Sunrise
1835	10	17	0400	13	7.6	Orig=46F,t=Sunrise
1835	10	18	0359	13	11.7	Orig=53F,t=Sunrise
1835	10	19	0358	13	12.1	Orig=54F,t=Sunrise
1835	10	20	0356	13	9.4	Orig=49F,t=Sunrise
1835	10	21	0355	13	11.7	Orig=53F,t=Sunrise
1835	10	22	0354	13	9.4	Orig=49F,t=Sunrise
1835	10	23	0353	13	10	Orig=50F,t=Sunrise
1835	10	24	0352	13	14.4	Orig=58F,t=Sunrise
1835	10	25	0351	13	15	Orig=59F,t=Sunrise
1835	10	26	0350	13	15.6	Orig=60F,t=Sunrise
1835	10	27	0349	13	15	Orig=59F,t=Sunrise
1835	10	28	0348	13	16.1	Orig=61F,t=Sunrise
1835	10	29	1030	13	14.1	Orig=57F,t=Noon
1835	10	30	0346	13	12.8	Orig=55F,t=Sunrise
1835	10	31	0345	13	13.6	Orig=56F,t=Sunrise
1835	11	1	0344	13	16.7	Orig=62F,t=Sunrise
1835	11	2	0343	13	17.7	Orig=64F,t=Sunrise
1835	11	3	0342	13	13.1	Orig=56F,t=Sunrise
1835	11	4	0342	13	15	Orig=59F,t=Sunrise
1835	11	5	0341	13	16.1	Orig=61F,t=Sunrise
1835	11	6	0340	13	13.9	Orig=57F,t=Sunrise
1835	11	7	0339	13	13.6	Orig=56F,t=Sunrise
1835	11	8	0338	13	12.2	Orig=54F,t=Sunrise
1835	11	9	0338	13	12.2	Orig=54F,t=Sunrise
1835	11	10	0337	13	12.5	Orig=54F,t=Sunrise
1835	11	11	0336	13	10.2	Orig=50F,t=Sunrise
1835	11	12	0336	13	9.4	Orig=49F,t=Sunrise
1835	11	13	0335	13	12.2	Orig=54F,t=Sunrise
1835	11	14	0334	13	12.2	Orig=54F,t=Sunrise
1835	11	15	0334	13	14.4	Orig=58F,t=Sunrise
1835	11	16	0333	13	15	Orig=59F,t=Sunrise
1835	11	17	0333	13	15	Orig=59F,t=Sunrise
1835	11	18	0332	13	15	Orig=59F,t=Sunrise
1835	11	19	0332	13	15.3	Orig=60F,t=Sunrise
1835	11	20	0331	13	15	Orig=59F,t=Sunrise
1835	11	21	0331	13	15.8	Orig=60F,t=Sunrise
1835	11	22	0331	13	15	Orig=59F,t=Sunrise
1835	11	23	0330	13	16.7	Orig=62F,t=Sunrise
1835	11	24	0330	13	15.7	Orig=60F,t=Sunrise
1835	11	25	0330	13	12.8	Orig=55F,t=Sunrise
1835	11	26	0330	13	12.8	Orig=55F,t=Sunrise
1835	11	27	0329	13	11.4	Orig=52F,t=Sunrise
1835	11	28	0329	13	15.3	Orig=60F,t=Sunrise
1835	11	29	0329	13	14.2	Orig=58F,t=Sunrise
1835	11	30	0329	13	15	Orig=59F,t=Sunrise
1835	12	1	0329	13	16.7	Orig=62F,t=Sunrise
1835	12	2	0329	13	17.1	Orig=63F,t=Sunrise
1835	12	3	0329	13	17.8	Orig=64F,t=Sunrise
1835	12	4	0329	13	17.3	Orig=63F,t=Sunrise
1835	12	5	0329	13	16.1	Orig=61F,t=Sunrise
1835	12	6	0329	13	14.7	Orig=58F,t=Sunrise
1835	12	7	0329	13	15.6	Orig=60F,t=Sunrise
1835	12	8	0329	13	15.6	Orig=60F,t=Sunrise
1835	12	9	0329	13	15	Orig=59F,t=Sunrise
1835	12	10	0330	13	10.3	Orig=51F,t=Sunrise
1835	12	11	0330	13	17.8	Orig=64F,t=Sunrise
1835	12	12	0330	13	14.6	Orig=58F,t=Sunrise
1835	12	13	0330	13	16.7	Orig=62F,t=Sunrise
1835	12	14	0331	13	13.6	Orig=56F,t=Sunrise
1835	12	15	0331	13	14.4	Orig=58F,t=Sunrise
1835	12	16	0331	13	16.1	Orig=61F,t=Sunrise
1835	12	17	0332	13	16.7	Orig=62F,t=Sunrise
1835	12	18	0332	13	16.1	Orig=61F,t=Sunrise
1835	12	19	0333	13	17.8	Orig=64F,t=Sunrise
1835	12	21	0334	13	15	Orig=59F,t=Sunrise
1835	12	22	0334	13	14.4	Orig=58F,t=Sunrise
1835	12	23	0335	13	16.2	Orig=61F,t=Sunrise
1835	12	24	0335	13	16.4	Orig=62F,t=Sunrise
1835	12	25	0336	13	14.1	Orig=57F,t=Sunrise
1835	12	26	0337	13	17.2	Orig=63F,t=Sunrise
1835	12	27	0337	13	14.7	Orig=58F,t=Sunrise
1835	12	28	0338	13	18.1	Orig=64F,t=Sunrise
1835	12	30	0339	13	15	Orig=59F,t=Sunrise
1835	12	31	0340	13	14.4	Orig=58F,t=Sunrise
1836	1	1	0341	13	13.9	Orig=57F,t=Sunrise
1836	1	2	1052	13	15.6	Orig=60F,t=Noon
1836	1	3	0343	13	15.3	Orig=60F,t=Sunrise
1836	1	4	0343	13	13.3	Orig=56F,t=Sunrise
1836	1	5	0344	13	17.2	Orig=63F,t=Sunrise
1836	1	6	0345	13	15	Orig=59F,t=Sunrise
1836	1	7	0346	13	16.9	Orig=62F,t=Sunrise
1836	1	8	0347	13	17.2	Orig=63F,t=Sunrise
1836	1	9	0348	13	15	Orig=59F,t=Sunrise
1836	1	10	0349	13	15.8	Orig=60F,t=Sunrise
1836	1	11	0350	13	15.9	Orig=61F,t=Sunrise
1836	1	12	0351	13	17.2	Orig=63F,t=Sunrise
1836	1	13	0351	13	15.3	Orig=60F,t=Sunrise
1836	1	14	0352	13	19	Orig=66F,t=Sunrise
1836	1	15	0353	13	18.3	Orig=65F,t=Sunrise
1836	1	16	0354	13	18.1	Orig=64F,t=Sunrise
1836	1	17	0355	13	17.9	Orig=64F,t=Sunrise
1836	1	18	0356	13	16.6	Orig=62F,t=Sunrise
1836	1	19	0357	13	17.7	Orig=64F,t=Sunrise
1836	1	20	0358	13	18.3	Orig=65F,t=Sunrise
1836	1	21	0359	13	16.1	Orig=61F,t=Sunrise
1836	1	22	0400	13	14.2	Orig=58F,t=Sunrise
1836	1	23	0401	13	16.1	Orig=61F,t=Sunrise
1836	1	24	0402	13	17.9	Orig=64F,t=Sunrise
1836	1	25	0403	13	15.6	Orig=60F,t=Sunrise
1836	1	26	0404	13	15.7	Orig=60F,t=Sunrise
1836	1	27	0405	13	17	Orig=63F,t=Sunrise
1836	1	28	0406	13	17.2	Orig=63F,t=Sunrise
1836	1	29	0407	13	14.9	Orig=59F,t=Sunrise
1836	1	30	0408	13	19.1	Orig=66F,t=Sunrise
1836	1	31	0409	13	17.1	Orig=63F,t=Sunrise
1836	2	1	0410	13	18.1	Orig=64F,t=Sunrise
1836	2	2	0412	13	18.1	Orig=65F,t=Sunrise
1836	2	3	0413	13	19.2	Orig=66F,t=Sunrise
1836	2	4	0414	13	15	Orig=59F,t=Sunrise
1836	2	5	0415	13	15.4	Orig=60F,t=Sunrise
1836	2	6	0416	13	16.9	Orig=62F,t=Sunrise
1836	2	7	0416	13	16.8	Orig=62F,t=Sunrise
1836	2	8	0417	13	18.9	Orig=66F,t=Sunrise
1836	2	9	0418	13	18.5	Orig=65F,t=Sunrise
1836	2	10	0419	13	17.9	Orig=64F,t=Sunrise
1836	2	11	0420	13	19	Orig=66F,t=Sunrise
1836	2	12	0421	13	16.2	Orig=61F,t=Sunrise
1836	2	13	0422	13	19.4	Orig=67F,t=Sunrise
1836	2	14	0423	13	18.9	Orig=66F,t=Sunrise
1836	2	15	0424	13	16.1	Orig=61F,t=Sunrise
1836	2	16	0425	13	17.7	Orig=64F,t=Sunrise
1836	2	17	0426	13	18.1	Orig=64F,t=Sunrise
1836	2	18	0427	13	19.9	Orig=68F,t=Sunrise
1836	2	19	0428	13	15.6	Orig=60F,t=Sunrise
1836	2	20	0429	13	18.9	Orig=66F,t=Sunrise
1836	2	21	0430	13	13.9	Orig=57F,t=Sunrise
1836	2	22	0431	13	16.7	Orig=62F,t=Sunrise
1836	2	23	0431	13	13.9	Orig=57F,t=Sunrise
1836	2	24	0432	13	13.3	Orig=56F,t=Sunrise
1836	2	25	0433	13	15.8	Orig=60F,t=Sunrise
1836	2	26	0434	13	12.7	Orig=55F,t=Sunrise
1836	2	27	0435	13	15.7	Orig=60F,t=Sunrise
1836	2	28	0436	13	16	Orig=61F,t=Sunrise
1836	2	29	0437	13	16.4	Orig=62F,t=Sunrise
1836	3	1	0437	13	16.9	Orig=62F,t=Sunrise
1836	3	2	0438	13	16.7	Orig=62F,t=Sunrise
1836	3	3	0439	13	15.3	Orig=60F,t=Sunrise
1836	3	5	0441	13	15.4	Orig=60F,t=Sunrise
1836	3	6	0442	13	16.6	Orig=62F,t=Sunrise
1836	3	7	0442	13	11.1	Orig=52F,t=Sunrise
1836	3	9	0444	13	15.1	Orig=59F,t=Sunrise
1836	3	10	0445	13	11.7	Orig=53F,t=Sunrise
1836	3	11	0445	13	11.9	Orig=54F,t=Sunrise
1836	3	12	0446	13	14.2	Orig=58F,t=Sunrise
1836	3	13	0447	13	16.7	Orig=62F,t=Sunrise
1836	3	14	0448	13	17.2	Orig=63F,t=Sunrise
1836	3	15	0449	13	14.7	Orig=58F,t=Sunrise
1836	3	16	0449	13	14.7	Orig=58F,t=Sunrise
1836	3	17	0450	13	13.6	Orig=56F,t=Sunrise
1836	3	18	0451	13	13.1	Orig=56F,t=Sunrise
1836	3	19	0452	13	15.2	Orig=59F,t=Sunrise
1836	3	20	0452	13	14.7	Orig=58F,t=Sunrise
1836	3	23	1052	13	14.4	Orig=58F,t=Noon
1836	3	24	0455	13	15.4	Orig=60F,t=Sunrise
1836	3	25	0456	13	14.4	Orig=58F,t=Sunrise
1836	3	26	0457	13	14.2	Orig=58F,t=Sunrise
1836	3	27	0457	13	15.6	Orig=60F,t=Sunrise
1836	3	28	0458	13	13.9	Orig=57F,t=Sunrise
1836	3	29	0459	13	11.7	Orig=53F,t=Sunrise
1836	3	30	0500	13	16.1	Orig=61F,t=Sunrise
1836	3	31	0500	13	16.9	Orig=62F,t=Sunrise
1836	4	1	0501	13	16.8	Orig=62F,t=Sunrise
1836	4	2	0502	13	16.1	Orig=61F,t=Sunrise
1836	4	3	0503	13	13.1	Orig=56F,t=Sunrise
1836	4	4	0503	13	12.5	Orig=54F,t=Sunrise
1836	4	5	0504	13	13.9	Orig=57F,t=Sunrise
