SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086302
Vbl	p
Stat	mean
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=Y|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1898	1	1	NA	NA	day	881.4	Orig=26.076in|orig.time=NA
1898	1	2	NA	NA	day	881.1	Orig=26.068in|orig.time=NA
1898	1	3	NA	NA	day	880.3	Orig=26.045in|orig.time=NA
1898	1	4	NA	NA	day	878.9	Orig=26.002in|orig.time=NA
1898	1	5	NA	NA	day	878.3	Orig=25.985in|orig.time=NA
1898	1	6	NA	NA	day	878.7	Orig=25.997in|orig.time=NA
1898	1	7	NA	NA	day	878.9	Orig=26.003in|orig.time=NA
1898	1	8	NA	NA	day	878.8	Orig=25.999in|orig.time=NA
1898	1	9	NA	NA	day	881.7	Orig=26.085in|orig.time=NA
1898	1	10	NA	NA	day	883.1	Orig=26.127in|orig.time=NA
1898	1	11	NA	NA	day	881.8	Orig=26.089in|orig.time=NA
1898	1	12	NA	NA	day	880.5	Orig=26.049in|orig.time=NA
1898	1	13	NA	NA	day	878.4	Orig=25.988in|orig.time=NA
1898	1	14	NA	NA	day	876.6	Orig=25.934in|orig.time=NA
1898	1	15	NA	NA	day	879.1	Orig=26.009in|orig.time=NA
1898	1	16	NA	NA	day	880.8	Orig=26.059in|orig.time=NA
1898	1	17	NA	NA	day	880	Orig=26.035in|orig.time=NA
1898	1	18	NA	NA	day	879.8	Orig=26.029in|orig.time=NA
1898	1	19	NA	NA	day	880.1	Orig=26.038in|orig.time=NA
1898	1	20	NA	NA	day	880.2	Orig=26.042in|orig.time=NA
1898	1	21	NA	NA	day	880.6	Orig=26.053in|orig.time=NA
1898	1	22	NA	NA	day	878.5	Orig=25.989in|orig.time=NA
1898	1	23	NA	NA	day	878.6	Orig=25.992in|orig.time=NA
1898	1	24	NA	NA	day	878.2	Orig=25.983in|orig.time=NA
1898	1	25	NA	NA	day	877.3	Orig=25.956in|orig.time=NA
1898	1	26	NA	NA	day	877.1	Orig=25.948in|orig.time=NA
1898	1	27	NA	NA	day	875.6	Orig=25.904in|orig.time=NA
1898	1	28	NA	NA	day	874.2	Orig=25.864in|orig.time=NA
1898	1	29	NA	NA	day	874.2	Orig=25.862in|orig.time=NA
1898	1	30	NA	NA	day	878.4	Orig=25.988in|orig.time=NA
1898	1	31	NA	NA	day	881.7	Orig=26.085in|orig.time=NA
1898	2	1	NA	NA	day	882.7	Orig=26.114in|orig.time=NA
1898	2	2	NA	NA	day	881.4	Orig=26.075in|orig.time=NA
1898	2	3	NA	NA	day	883.7	Orig=26.144in|orig.time=NA
1898	2	4	NA	NA	day	885.7	Orig=26.202in|orig.time=NA
1898	2	5	NA	NA	day	885.1	Orig=26.186in|orig.time=NA
1898	2	6	NA	NA	day	884	Orig=26.153in|orig.time=NA
1898	2	7	NA	NA	day	881.9	Orig=26.091in|orig.time=NA
1898	2	8	NA	NA	day	880	Orig=26.034in|orig.time=NA
1898	2	9	NA	NA	day	880	Orig=26.036in|orig.time=NA
1898	2	10	NA	NA	day	880.8	Orig=26.057in|orig.time=NA
1898	2	11	NA	NA	day	880.4	Orig=26.048in|orig.time=NA
1898	2	12	NA	NA	day	879.4	Orig=26.017in|orig.time=NA
1898	2	13	NA	NA	day	881.3	Orig=26.073in|orig.time=NA
1898	2	14	NA	NA	day	882.2	Orig=26.1in|orig.time=NA
1898	2	15	NA	NA	day	882	Orig=26.095in|orig.time=NA
1898	2	16	NA	NA	day	881.6	Orig=26.081in|orig.time=NA
1898	2	17	NA	NA	day	879.8	Orig=26.028in|orig.time=NA
1898	2	18	NA	NA	day	879.3	Orig=26.015in|orig.time=NA
1898	2	19	NA	NA	day	880	Orig=26.035in|orig.time=NA
1898	2	20	NA	NA	day	881.1	Orig=26.067in|orig.time=NA
1898	2	21	NA	NA	day	884.8	Orig=26.177in|orig.time=NA
1898	2	22	NA	NA	day	887.8	Orig=26.265in|orig.time=NA
1898	2	23	NA	NA	day	886.4	Orig=26.225in|orig.time=NA
1898	2	24	NA	NA	day	883.2	Orig=26.129in|orig.time=NA
1898	2	25	NA	NA	day	881.3	Orig=26.073in|orig.time=NA
1898	2	26	NA	NA	day	882.8	Orig=26.118in|orig.time=NA
1898	2	27	NA	NA	day	884	Orig=26.154in|orig.time=NA
1898	2	28	NA	NA	day	884	Orig=26.153in|orig.time=NA
1898	3	1	NA	NA	day	883.4	Orig=26.135in|orig.time=NA
1898	3	2	NA	NA	day	882	Orig=26.093in|orig.time=NA
1898	3	3	NA	NA	day	881	Orig=26.063in|orig.time=NA
1898	3	4	NA	NA	day	878.7	Orig=25.995in|orig.time=NA
1898	3	5	NA	NA	day	877.6	Orig=25.965in|orig.time=NA
1898	3	6	NA	NA	day	877.8	Orig=25.969in|orig.time=NA
1898	3	7	NA	NA	day	877.5	Orig=25.96in|orig.time=NA
1898	3	8	NA	NA	day	877.5	Orig=25.962in|orig.time=NA
1898	3	9	NA	NA	day	881.8	Orig=26.087in|orig.time=NA
1898	3	10	NA	NA	day	882.7	Orig=26.115in|orig.time=NA
1898	3	11	NA	NA	day	882.1	Orig=26.098in|orig.time=NA
1898	3	12	NA	NA	day	883.5	Orig=26.139in|orig.time=NA
1898	3	13	NA	NA	day	883.7	Orig=26.143in|orig.time=NA
1898	3	14	NA	NA	day	884.3	Orig=26.163in|orig.time=NA
1898	3	15	NA	NA	day	882.7	Orig=26.115in|orig.time=NA
1898	3	16	NA	NA	day	880.4	Orig=26.048in|orig.time=NA
1898	3	17	NA	NA	day	883	Orig=26.125in|orig.time=NA
1898	3	18	NA	NA	day	886.9	Orig=26.24in|orig.time=NA
1898	3	19	NA	NA	day	886	Orig=26.212in|orig.time=NA
1898	3	20	NA	NA	day	884	Orig=26.153in|orig.time=NA
1898	3	21	NA	NA	day	883.4	Orig=26.134in|orig.time=NA
1898	3	22	NA	NA	day	882.6	Orig=26.111in|orig.time=NA
1898	3	23	NA	NA	day	878.7	Orig=25.997in|orig.time=NA
1898	3	24	NA	NA	day	877.3	Orig=25.955in|orig.time=NA
1898	3	25	NA	NA	day	881.5	Orig=26.078in|orig.time=NA
1898	3	26	NA	NA	day	880.6	Orig=26.054in|orig.time=NA
1898	3	27	NA	NA	day	879	Orig=26.004in|orig.time=NA
1898	3	28	NA	NA	day	877.1	Orig=25.949in|orig.time=NA
1898	3	29	NA	NA	day	879.5	Orig=26.02in|orig.time=NA
1898	3	30	NA	NA	day	882.6	Orig=26.111in|orig.time=NA
1898	3	31	NA	NA	day	884.7	Orig=26.175in|orig.time=NA
1898	4	1	NA	NA	day	882.8	Orig=26.118in|orig.time=NA
1898	4	2	NA	NA	day	880.8	Orig=26.058in|orig.time=NA
1898	4	3	NA	NA	day	880.7	Orig=26.056in|orig.time=NA
1898	4	4	NA	NA	day	882.5	Orig=26.108in|orig.time=NA
1898	4	5	NA	NA	day	880.5	Orig=26.051in|orig.time=NA
1898	4	6	NA	NA	day	881.2	Orig=26.07in|orig.time=NA
1898	4	7	NA	NA	day	886.1	Orig=26.215in|orig.time=NA
1898	4	8	NA	NA	day	884.9	Orig=26.179in|orig.time=NA
1898	4	9	NA	NA	day	884.8	Orig=26.178in|orig.time=NA
1898	4	10	NA	NA	day	883.6	Orig=26.142in|orig.time=NA
1898	4	11	NA	NA	day	881.7	Orig=26.086in|orig.time=NA
1898	4	12	NA	NA	day	884	Orig=26.152in|orig.time=NA
1898	4	13	NA	NA	day	883.5	Orig=26.138in|orig.time=NA
1898	4	14	NA	NA	day	885	Orig=26.183in|orig.time=NA
1898	4	15	NA	NA	day	887.3	Orig=26.25in|orig.time=NA
1898	4	16	NA	NA	day	887.7	Orig=26.264in|orig.time=NA
1898	4	17	NA	NA	day	883.9	Orig=26.15in|orig.time=NA
1898	4	18	NA	NA	day	882	Orig=26.095in|orig.time=NA
1898	4	19	NA	NA	day	882	Orig=26.093in|orig.time=NA
1898	4	20	NA	NA	day	886	Orig=26.213in|orig.time=NA
1898	4	21	NA	NA	day	888.8	Orig=26.296in|orig.time=NA
1898	4	22	NA	NA	day	887.5	Orig=26.256in|orig.time=NA
1898	4	23	NA	NA	day	887.1	Orig=26.246in|orig.time=NA
1898	4	24	NA	NA	day	887.7	Orig=26.263in|orig.time=NA
1898	4	25	NA	NA	day	887.5	Orig=26.258in|orig.time=NA
1898	4	26	NA	NA	day	887.5	Orig=26.258in|orig.time=NA
1898	4	27	NA	NA	day	886.6	Orig=26.231in|orig.time=NA
1898	4	28	NA	NA	day	884.5	Orig=26.168in|orig.time=NA
1898	4	29	NA	NA	day	884.2	Orig=26.158in|orig.time=NA
1898	4	30	NA	NA	day	885.1	Orig=26.185in|orig.time=NA
1898	5	1	NA	NA	day	886.3	Orig=26.222in|orig.time=NA
1898	5	2	NA	NA	day	884.2	Orig=26.158in|orig.time=NA
1898	5	3	NA	NA	day	882.2	Orig=26.101in|orig.time=NA
1898	5	4	NA	NA	day	882.9	Orig=26.12in|orig.time=NA
1898	5	5	NA	NA	day	883.9	Orig=26.151in|orig.time=NA
1898	5	6	NA	NA	day	884.7	Orig=26.173in|orig.time=NA
1898	5	7	NA	NA	day	886.4	Orig=26.225in|orig.time=NA
1898	5	8	NA	NA	day	882.4	Orig=26.105in|orig.time=NA
1898	5	9	NA	NA	day	881.9	Orig=26.09in|orig.time=NA
1898	5	10	NA	NA	day	880	Orig=26.036in|orig.time=NA
1898	5	11	NA	NA	day	886.7	Orig=26.234in|orig.time=NA
1898	5	12	NA	NA	day	887.3	Orig=26.252in|orig.time=NA
1898	5	13	NA	NA	day	884.6	Orig=26.17in|orig.time=NA
1898	5	14	NA	NA	day	882.6	Orig=26.112in|orig.time=NA
1898	5	15	NA	NA	day	882.8	Orig=26.118in|orig.time=NA
1898	5	16	NA	NA	day	887.8	Orig=26.265in|orig.time=NA
1898	5	17	NA	NA	day	890.8	Orig=26.353in|orig.time=NA
1898	5	18	NA	NA	day	891.3	Orig=26.368in|orig.time=NA
1898	5	19	NA	NA	day	890	Orig=26.33in|orig.time=NA
1898	5	20	NA	NA	day	889	Orig=26.3in|orig.time=NA
1898	5	21	NA	NA	day	886.3	Orig=26.222in|orig.time=NA
1898	5	22	NA	NA	day	885.2	Orig=26.189in|orig.time=NA
1898	5	23	NA	NA	day	885.6	Orig=26.2in|orig.time=NA
1898	5	24	NA	NA	day	884.9	Orig=26.179in|orig.time=NA
1898	5	25	NA	NA	day	884	Orig=26.154in|orig.time=NA
1898	5	26	NA	NA	day	883.3	Orig=26.133in|orig.time=NA
1898	5	27	NA	NA	day	884.9	Orig=26.18in|orig.time=NA
1898	5	28	NA	NA	day	882.8	Orig=26.117in|orig.time=NA
1898	5	29	NA	NA	day	883.6	Orig=26.142in|orig.time=NA
1898	5	30	NA	NA	day	888.1	Orig=26.274in|orig.time=NA
1898	5	31	NA	NA	day	889.4	Orig=26.312in|orig.time=NA
1898	6	1	NA	NA	day	891.6	Orig=26.378in|orig.time=NA
1898	6	2	NA	NA	day	892.4	Orig=26.401in|orig.time=NA
1898	6	3	NA	NA	day	890.2	Orig=26.337in|orig.time=NA
1898	6	4	NA	NA	day	887.3	Orig=26.25in|orig.time=NA
1898	6	5	NA	NA	day	885.9	Orig=26.21in|orig.time=NA
1898	6	6	NA	NA	day	888.1	Orig=26.275in|orig.time=NA
1898	6	7	NA	NA	day	891.8	Orig=26.383in|orig.time=NA
1898	6	8	NA	NA	day	893	Orig=26.42in|orig.time=NA
1898	6	9	NA	NA	day	894.1	Orig=26.452in|orig.time=NA
1898	6	10	NA	NA	day	893.2	Orig=26.426in|orig.time=NA
1898	6	11	NA	NA	day	889.8	Orig=26.325in|orig.time=NA
1898	6	12	NA	NA	day	887.1	Orig=26.245in|orig.time=NA
1898	6	13	NA	NA	day	889.5	Orig=26.317in|orig.time=NA
1898	6	14	NA	NA	day	891.3	Orig=26.37in|orig.time=NA
1898	6	15	NA	NA	day	893	Orig=26.418in|orig.time=NA
1898	6	16	NA	NA	day	891.6	Orig=26.378in|orig.time=NA
1898	6	17	NA	NA	day	888	Orig=26.271in|orig.time=NA
1898	6	18	NA	NA	day	887.4	Orig=26.255in|orig.time=NA
1898	6	19	NA	NA	day	890	Orig=26.33in|orig.time=NA
1898	6	20	NA	NA	day	890.3	Orig=26.339in|orig.time=NA
1898	6	21	NA	NA	day	891.3	Orig=26.368in|orig.time=NA
1898	6	22	NA	NA	day	890.6	Orig=26.348in|orig.time=NA
1898	6	23	NA	NA	day	889	Orig=26.3in|orig.time=NA
1898	6	24	NA	NA	day	887.6	Orig=26.259in|orig.time=NA
1898	6	25	NA	NA	day	886.4	Orig=26.225in|orig.time=NA
1898	6	26	NA	NA	day	882.5	Orig=26.108in|orig.time=NA
1898	6	27	NA	NA	day	879.5	Orig=26.02in|orig.time=NA
1898	6	28	NA	NA	day	879.9	Orig=26.032in|orig.time=NA
1898	6	29	NA	NA	day	886.1	Orig=26.215in|orig.time=NA
1898	6	30	NA	NA	day	890	Orig=26.332in|orig.time=NA
1898	7	1	NA	NA	day	889.8	Orig=26.325in|orig.time=NA
1898	7	2	NA	NA	day	889.5	Orig=26.317in|orig.time=NA
1898	7	3	NA	NA	day	889.1	Orig=26.303in|orig.time=NA
1898	7	4	NA	NA	day	887.7	Orig=26.264in|orig.time=NA
1898	7	5	NA	NA	day	887.3	Orig=26.251in|orig.time=NA
1898	7	6	NA	NA	day	883.9	Orig=26.15in|orig.time=NA
1898	7	7	NA	NA	day	880.1	Orig=26.037in|orig.time=NA
1898	7	8	NA	NA	day	883.5	Orig=26.137in|orig.time=NA
1898	7	9	NA	NA	day	888.9	Orig=26.299in|orig.time=NA
1898	7	10	NA	NA	day	889.5	Orig=26.315in|orig.time=NA
1898	7	11	NA	NA	day	888.2	Orig=26.277in|orig.time=NA
1898	7	12	NA	NA	day	885.9	Orig=26.208in|orig.time=NA
1898	7	13	NA	NA	day	885.1	Orig=26.185in|orig.time=NA
1898	7	14	NA	NA	day	883.5	Orig=26.137in|orig.time=NA
1898	7	15	NA	NA	day	885	Orig=26.184in|orig.time=NA
1898	7	16	NA	NA	day	884.5	Orig=26.168in|orig.time=NA
1898	7	17	NA	NA	day	889.9	Orig=26.327in|orig.time=NA
1898	7	18	NA	NA	day	892.1	Orig=26.392in|orig.time=NA
1898	7	19	NA	NA	day	892	Orig=26.39in|orig.time=NA
1898	7	20	NA	NA	day	890.2	Orig=26.337in|orig.time=NA
1898	7	21	NA	NA	day	889.7	Orig=26.323in|orig.time=NA
1898	7	22	NA	NA	day	888.2	Orig=26.277in|orig.time=NA
1898	7	23	NA	NA	day	888.7	Orig=26.293in|orig.time=NA
1898	7	24	NA	NA	day	893.6	Orig=26.437in|orig.time=NA
1898	7	25	NA	NA	day	894.5	Orig=26.463in|orig.time=NA
1898	7	26	NA	NA	day	893.1	Orig=26.421in|orig.time=NA
1898	7	27	NA	NA	day	891.3	Orig=26.37in|orig.time=NA
1898	7	28	NA	NA	day	889.1	Orig=26.303in|orig.time=NA
1898	7	29	NA	NA	day	887.1	Orig=26.245in|orig.time=NA
1898	7	30	NA	NA	day	882.5	Orig=26.108in|orig.time=NA
1898	7	31	NA	NA	day	881	Orig=26.065in|orig.time=NA
1898	8	1	NA	NA	day	887.8	Orig=26.267in|orig.time=NA
1898	8	2	NA	NA	day	890.6	Orig=26.348in|orig.time=NA
1898	8	3	NA	NA	day	891.5	Orig=26.375in|orig.time=NA
1898	8	4	NA	NA	day	891.5	Orig=26.375in|orig.time=NA
1898	8	5	NA	NA	day	892.9	Orig=26.415in|orig.time=NA
1898	8	6	NA	NA	day	894.8	Orig=26.472in|orig.time=NA
1898	8	7	NA	NA	day	894.9	Orig=26.475in|orig.time=NA
1898	8	8	NA	NA	day	890.9	Orig=26.357in|orig.time=NA
1898	8	9	NA	NA	day	888.5	Orig=26.285in|orig.time=NA
1898	8	10	NA	NA	day	888.9	Orig=26.298in|orig.time=NA
1898	8	11	NA	NA	day	888.7	Orig=26.292in|orig.time=NA
1898	8	12	NA	NA	day	890.7	Orig=26.352in|orig.time=NA
1898	8	13	NA	NA	day	892.5	Orig=26.405in|orig.time=NA
1898	8	14	NA	NA	day	891.9	Orig=26.388in|orig.time=NA
1898	8	15	NA	NA	day	889.4	Orig=26.314in|orig.time=NA
1898	8	16	NA	NA	day	889.4	Orig=26.312in|orig.time=NA
1898	8	17	NA	NA	day	890.6	Orig=26.347in|orig.time=NA
1898	8	18	NA	NA	day	890.9	Orig=26.357in|orig.time=NA
1898	8	19	NA	NA	day	890.5	Orig=26.345in|orig.time=NA
1898	8	20	NA	NA	day	888.1	Orig=26.275in|orig.time=NA
1898	8	21	NA	NA	day	885.9	Orig=26.21in|orig.time=NA
1898	8	22	NA	NA	day	887.9	Orig=26.269in|orig.time=NA
1898	8	23	NA	NA	day	890.6	Orig=26.347in|orig.time=NA
1898	8	24	NA	NA	day	891.8	Orig=26.383in|orig.time=NA
1898	8	25	NA	NA	day	890.1	Orig=26.335in|orig.time=NA
1898	8	26	NA	NA	day	887.6	Orig=26.261in|orig.time=NA
1898	8	27	NA	NA	day	886	Orig=26.213in|orig.time=NA
1898	8	28	NA	NA	day	887.4	Orig=26.254in|orig.time=NA
1898	8	29	NA	NA	day	884.8	Orig=26.176in|orig.time=NA
1898	8	30	NA	NA	day	882.8	Orig=26.117in|orig.time=NA
1898	8	31	NA	NA	day	885.7	Orig=26.204in|orig.time=NA
1898	9	1	NA	NA	day	884.4	Orig=26.166in|orig.time=NA
1898	9	2	NA	NA	day	881.2	Orig=26.071in|orig.time=NA
1898	9	3	NA	NA	day	886.7	Orig=26.233in|orig.time=NA
1898	9	4	NA	NA	day	883.6	Orig=26.142in|orig.time=NA
1898	9	5	NA	NA	day	883.4	Orig=26.136in|orig.time=NA
1898	9	6	NA	NA	day	886.2	Orig=26.218in|orig.time=NA
1898	9	7	NA	NA	day	885.2	Orig=26.188in|orig.time=NA
1898	9	8	NA	NA	day	880.9	Orig=26.061in|orig.time=NA
1898	9	9	NA	NA	day	881.3	Orig=26.072in|orig.time=NA
1898	9	10	NA	NA	day	880.6	Orig=26.053in|orig.time=NA
1898	9	11	NA	NA	day	881.3	Orig=26.073in|orig.time=NA
1898	9	12	NA	NA	day	881.7	Orig=26.086in|orig.time=NA
1898	9	13	NA	NA	day	884.1	Orig=26.157in|orig.time=NA
1898	9	14	NA	NA	day	885.4	Orig=26.195in|orig.time=NA
1898	9	15	NA	NA	day	884.1	Orig=26.157in|orig.time=NA
1898	9	16	NA	NA	day	880.6	Orig=26.052in|orig.time=NA
1898	9	17	NA	NA	day	886.4	Orig=26.225in|orig.time=NA
1898	9	18	NA	NA	day	889.8	Orig=26.325in|orig.time=NA
1898	9	19	NA	NA	day	890.7	Orig=26.352in|orig.time=NA
1898	9	20	NA	NA	day	890.1	Orig=26.334in|orig.time=NA
1898	9	21	NA	NA	day	888.9	Orig=26.299in|orig.time=NA
1898	9	22	NA	NA	day	888.1	Orig=26.274in|orig.time=NA
1898	9	23	NA	NA	day	888.9	Orig=26.297in|orig.time=NA
1898	9	24	NA	NA	day	888.7	Orig=26.292in|orig.time=NA
1898	9	25	NA	NA	day	888.2	Orig=26.278in|orig.time=NA
1898	9	26	NA	NA	day	886.5	Orig=26.228in|orig.time=NA
1898	9	27	NA	NA	day	881.9	Orig=26.091in|orig.time=NA
1898	9	28	NA	NA	day	879	Orig=26.004in|orig.time=NA
1898	9	29	NA	NA	day	879.1	Orig=26.009in|orig.time=NA
1898	9	30	NA	NA	day	882.3	Orig=26.102in|orig.time=NA
1898	10	1	NA	NA	day	878.9	Orig=26.003in|orig.time=NA
1898	10	2	NA	NA	day	881.4	Orig=26.076in|orig.time=NA
1898	10	3	NA	NA	day	878.3	Orig=25.985in|orig.time=NA
1898	10	4	NA	NA	day	881.1	Orig=26.067in|orig.time=NA
1898	10	5	NA	NA	day	879.8	Orig=26.03in|orig.time=NA
1898	10	6	NA	NA	day	885.4	Orig=26.194in|orig.time=NA
1898	10	7	NA	NA	day	889.5	Orig=26.316in|orig.time=NA
1898	10	8	NA	NA	day	887.9	Orig=26.269in|orig.time=NA
1898	10	9	NA	NA	day	883.5	Orig=26.137in|orig.time=NA
1898	10	10	NA	NA	day	880.2	Orig=26.041in|orig.time=NA
1898	10	11	NA	NA	day	873.1	Orig=25.83in|orig.time=NA
1898	10	12	NA	NA	day	877.5	Orig=25.96in|orig.time=NA
1898	10	13	NA	NA	day	883	Orig=26.125in|orig.time=NA
1898	10	14	NA	NA	day	885.1	Orig=26.186in|orig.time=NA
1898	10	15	NA	NA	day	885.7	Orig=26.203in|orig.time=NA
1898	10	16	NA	NA	day	880.3	Orig=26.045in|orig.time=NA
1898	10	17	NA	NA	day	881.3	Orig=26.072in|orig.time=NA
1898	10	18	NA	NA	day	883.6	Orig=26.14in|orig.time=NA
1898	10	19	NA	NA	day	882.6	Orig=26.113in|orig.time=NA
1898	10	20	NA	NA	day	882.6	Orig=26.111in|orig.time=NA
1898	10	21	NA	NA	day	881.9	Orig=26.09in|orig.time=NA
1898	10	22	NA	NA	day	879.1	Orig=26.007in|orig.time=NA
1898	10	23	NA	NA	day	881.8	Orig=26.087in|orig.time=NA
1898	10	24	NA	NA	day	882.3	Orig=26.104in|orig.time=NA
1898	10	25	NA	NA	day	880.1	Orig=26.039in|orig.time=NA
1898	10	26	NA	NA	day	878.4	Orig=25.986in|orig.time=NA
1898	10	27	NA	NA	day	879.5	Orig=26.02in|orig.time=NA
1898	10	28	NA	NA	day	880.5	Orig=26.05in|orig.time=NA
1898	10	29	NA	NA	day	880.1	Orig=26.039in|orig.time=NA
1898	10	30	NA	NA	day	879.5	Orig=26.02in|orig.time=NA
1898	10	31	NA	NA	day	879.1	Orig=26.009in|orig.time=NA
1898	11	1	NA	NA	day	875.7	Orig=25.907in|orig.time=NA
1898	11	2	NA	NA	day	877	Orig=25.945in|orig.time=NA
1898	11	3	NA	NA	day	878.2	Orig=25.983in|orig.time=NA
1898	11	4	NA	NA	day	877.5	Orig=25.962in|orig.time=NA
1898	11	5	NA	NA	day	878.6	Orig=25.992in|orig.time=NA
1898	11	6	NA	NA	day	876.9	Orig=25.943in|orig.time=NA
1898	11	7	NA	NA	day	878.4	Orig=25.988in|orig.time=NA
1898	11	8	NA	NA	day	880.3	Orig=26.045in|orig.time=NA
1898	11	9	NA	NA	day	880.7	Orig=26.056in|orig.time=NA
1898	11	10	NA	NA	day	881.9	Orig=26.091in|orig.time=NA
1898	11	11	NA	NA	day	879.6	Orig=26.023in|orig.time=NA
1898	11	12	NA	NA	day	877.4	Orig=25.958in|orig.time=NA
1898	11	13	NA	NA	day	880.6	Orig=26.052in|orig.time=NA
1898	11	14	NA	NA	day	879.7	Orig=26.026in|orig.time=NA
1898	11	15	NA	NA	day	878.5	Orig=25.99in|orig.time=NA
1898	11	16	NA	NA	day	878.8	Orig=26in|orig.time=NA
1898	11	17	NA	NA	day	876.6	Orig=25.933in|orig.time=NA
1898	11	18	NA	NA	day	876.9	Orig=25.943in|orig.time=NA
1898	11	19	NA	NA	day	880.2	Orig=26.04in|orig.time=NA
1898	11	20	NA	NA	day	882.6	Orig=26.111in|orig.time=NA
1898	11	21	NA	NA	day	882.3	Orig=26.104in|orig.time=NA
1898	11	22	NA	NA	day	880.1	Orig=26.039in|orig.time=NA
1898	11	23	NA	NA	day	879.1	Orig=26.007in|orig.time=NA
1898	11	24	NA	NA	day	879	Orig=26.005in|orig.time=NA
1898	11	25	NA	NA	day	881.6	Orig=26.081in|orig.time=NA
1898	11	26	NA	NA	day	880.7	Orig=26.055in|orig.time=NA
1898	11	27	NA	NA	day	877.9	Orig=25.973in|orig.time=NA
1898	11	28	NA	NA	day	878.4	Orig=25.988in|orig.time=NA
1898	11	29	NA	NA	day	881.3	Orig=26.072in|orig.time=NA
1898	11	30	NA	NA	day	882.2	Orig=26.099in|orig.time=NA
1898	12	1	NA	NA	day	880	Orig=26.034in|orig.time=NA
1898	12	2	NA	NA	day	876.9	Orig=25.943in|orig.time=NA
1898	12	3	NA	NA	day	876.3	Orig=25.925in|orig.time=NA
1898	12	4	NA	NA	day	878.4	Orig=25.986in|orig.time=NA
1898	12	5	NA	NA	day	880.3	Orig=26.043in|orig.time=NA
1898	12	6	NA	NA	day	878.5	Orig=25.991in|orig.time=NA
1898	12	7	NA	NA	day	880.6	Orig=26.052in|orig.time=NA
1898	12	8	NA	NA	day	883.6	Orig=26.14in|orig.time=NA
1898	12	9	NA	NA	day	881.4	Orig=26.075in|orig.time=NA
1898	12	10	NA	NA	day	879.7	Orig=26.025in|orig.time=NA
1898	12	11	NA	NA	day	880.7	Orig=26.056in|orig.time=NA
1898	12	12	NA	NA	day	879.7	Orig=26.025in|orig.time=NA
1898	12	13	NA	NA	day	878	Orig=25.977in|orig.time=NA
1898	12	14	NA	NA	day	878.6	Orig=25.993in|orig.time=NA
1898	12	15	NA	NA	day	877.4	Orig=25.958in|orig.time=NA
1898	12	16	NA	NA	day	877.1	Orig=25.949in|orig.time=NA
1898	12	17	NA	NA	day	880.1	Orig=26.038in|orig.time=NA
1898	12	18	NA	NA	day	879	Orig=26.006in|orig.time=NA
1898	12	19	NA	NA	day	879.3	Orig=26.013in|orig.time=NA
1898	12	20	NA	NA	day	879.3	Orig=26.015in|orig.time=NA
1898	12	21	NA	NA	day	878.1	Orig=25.979in|orig.time=NA
1898	12	22	NA	NA	day	877.6	Orig=25.963in|orig.time=NA
1898	12	23	NA	NA	day	880.1	Orig=26.039in|orig.time=NA
1898	12	24	NA	NA	day	880.2	Orig=26.042in|orig.time=NA
1898	12	25	NA	NA	day	878.4	Orig=25.988in|orig.time=NA
1898	12	26	NA	NA	day	880	Orig=26.036in|orig.time=NA
1898	12	27	NA	NA	day	882.9	Orig=26.12in|orig.time=NA
1898	12	28	NA	NA	day	882.7	Orig=26.116in|orig.time=NA
1898	12	29	NA	NA	day	880.4	Orig=26.046in|orig.time=NA
1898	12	30	NA	NA	day	877.8	Orig=25.969in|orig.time=NA
1898	12	31	NA	NA	day	880.8	Orig=26.059in|orig.time=NA
1899	1	1	NA	NA	day	881	Orig=26.063in|orig.time=NA
1899	1	2	NA	NA	day	882.3	Orig=26.103in|orig.time=NA
1899	1	3	NA	NA	day	880.7	Orig=26.056in|orig.time=NA
1899	1	4	NA	NA	day	879.1	Orig=26.009in|orig.time=NA
1899	1	5	NA	NA	day	880.8	Orig=26.058in|orig.time=NA
1899	1	6	NA	NA	day	882	Orig=26.093in|orig.time=NA
1899	1	7	NA	NA	day	881.7	Orig=26.086in|orig.time=NA
1899	1	8	NA	NA	day	880.3	Orig=26.043in|orig.time=NA
1899	1	9	NA	NA	day	876.9	Orig=25.944in|orig.time=NA
1899	1	10	NA	NA	day	878.1	Orig=25.978in|orig.time=NA
1899	1	11	NA	NA	day	878.9	Orig=26.002in|orig.time=NA
1899	1	12	NA	NA	day	879.3	Orig=26.015in|orig.time=NA
1899	1	13	NA	NA	day	879.2	Orig=26.012in|orig.time=NA
1899	1	14	NA	NA	day	878.7	Orig=25.995in|orig.time=NA
1899	1	15	NA	NA	day	879.5	Orig=26.02in|orig.time=NA
1899	1	16	NA	NA	day	880	Orig=26.036in|orig.time=NA
1899	1	17	NA	NA	day	877.5	Orig=25.96in|orig.time=NA
1899	1	18	NA	NA	day	876.2	Orig=25.922in|orig.time=NA
1899	1	19	NA	NA	day	877.1	Orig=25.948in|orig.time=NA
1899	1	20	NA	NA	day	876.8	Orig=25.939in|orig.time=NA
1899	1	21	NA	NA	day	876.1	Orig=25.92in|orig.time=NA
