SEF	0.0.1
ID	DWR_Quiaca
Name	Quiaca
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	7	13	1817	0	0	Orig=N
1902	7	14	1817	0	0	Orig=N
1902	7	15	1817	0	0	Orig=N
1902	7	16	1817	0	0	Orig=N
1902	7	17	1817	0	180	Orig=S
1902	7	18	1817	0	0	Orig=N
1902	7	19	1817	0	180	Orig=S
1902	7	20	1817	0	0	Orig=N
1902	7	23	1817	0	180	Orig=S
1902	7	25	1817	0	0	Orig=N
1902	7	26	1817	0	0	Orig=N
1902	7	27	1817	0	0	Orig=N
1902	7	28	1817	0	0	Orig=N
1902	7	29	1817	0	45	Orig=NE
1902	7	30	1817	0	90	Orig=E
1902	7	31	1817	0	0	Orig=N
1902	8	2	1817	0	0	Orig=N
1902	8	3	1817	0	0	Orig=N
1902	8	4	1817	0	90	Orig=E
1902	8	6	1817	0	180	Orig=S
1902	8	7	1817	0	0	Orig=N
1902	8	8	1817	0	180	Orig=S
1902	8	10	1817	0	270	Orig=W
1902	8	11	1817	0	0	Orig=N
1902	8	12	1817	0	0	Orig=N
1902	8	14	1817	0	0	Orig=N
1902	8	15	1817	0	0	Orig=N
1902	8	16	1817	0	45	Orig=NE
1902	8	21	1817	0	0	Orig=N
1902	8	22	1817	0	0	Orig=N
1902	8	23	1817	0	0	Orig=N
1902	8	24	1817	0	270	Orig=W
1902	8	25	1817	0	315	Orig=NW
1902	8	26	1817	0	315	Orig=NW
1902	8	27	1817	0	0	Orig=N
1902	8	28	1817	0	0	Orig=N
1902	8	29	1817	0	0	Orig=N
1902	9	5	1117	0	90	Orig=E
1902	9	19	1117	0	0	Orig=N
1902	9	23	1117	0	270	Orig=W
1902	9	25	1117	0	90	Orig=E
1902	9	26	1117	0	270	Orig=W
1902	10	1	1117	0	90	Orig=E
1902	11	12	1117	0	0	Orig=N
1902	11	19	1117	0	0	Orig=N
1902	11	26	1117	0	45	Orig=NE
1902	11	28	1117	0	0	Orig=N
1902	12	3	1117	0	0	Orig=N
1902	12	6	1117	0	45	Orig=NE
1902	12	7	1117	0	180	Orig=S
1902	12	9	1117	0	90	Orig=E
1902	12	13	1117	0	0	Orig=N
1902	12	20	1117	0	0	Orig=N
1902	12	25	1117	0	0	Orig=N
1902	12	27	1117	0	270	Orig=W
1902	12	28	1117	0	270	Orig=W
1902	12	31	1117	0	270	Orig=W
