SEF	0.0.1
ID	DWR_NEQUEN_-_Arr
Name	NEQUEN - Arroyitos
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	Tx
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	10	1	1117	13	10	
1902	10	2	1117	13	13	
1902	10	3	1117	13	17	
1902	10	5	1117	13	24	
1902	10	7	1117	13	18	
1902	10	8	1117	13	16	
1902	10	9	1117	13	17	
1902	10	10	1117	13	11	
1902	10	11	1117	13	12	
1902	10	12	1117	13	16	
1902	10	13	1117	13	20	
1902	10	14	1117	13	21	
1902	10	15	1117	13	21	
1902	10	16	1117	13	16	
1902	10	17	1117	13	17	
1902	10	18	1117	13	15	
1902	10	19	1117	13	19	
1902	10	20	1117	13	20	
1902	10	21	1117	13	16	
1902	10	22	1117	13	21	
1902	10	23	1117	13	15	
1902	10	24	1117	13	12	
1902	10	25	1117	13	11	
1902	10	26	1117	13	8	
1902	10	27	1117	13	11	
1902	10	28	1117	13	13	
1902	10	29	1117	13	12	
1902	10	30	1117	13	13	
1902	10	31	1117	13	19	
1902	11	1	1117	13	16	
1902	11	2	1117	13	15	
1902	11	3	1117	13	21	
1902	11	4	1117	13	19	
1902	11	5	1117	13	12	
1902	11	6	1117	13	14	
1902	11	7	1117	13	13	
1902	11	8	1117	13	12	
1902	11	9	1117	13	12	
1902	11	10	1117	13	12	
1902	11	11	1117	13	13	
1902	11	12	1117	13	15	
1902	11	13	1117	13	14	
1902	11	14	1117	13	17	
1902	11	15	1117	13	13	
1902	11	16	1117	13	19	
1902	11	17	1117	13	14	
1902	11	18	1117	13	25	
1902	11	19	1117	13	25	
1902	11	20	1117	13	25	
1902	11	21	1117	13	26	
1902	11	28	1117	13	23	
1902	11	29	1117	13	25	
1902	11	30	1117	13	24	
1902	12	1	1117	13	24	
1902	12	2	1117	13	19	
1902	12	4	1117	13	23	
1902	12	5	1117	13	28	
1902	12	6	1117	13	26	
1902	12	7	1117	13	21	
1902	12	9	1117	13	21	
1902	12	11	1117	13	24	
1902	12	12	1117	13	15	
1902	12	13	1117	13	16	
1902	12	18	1117	13	23	
1902	12	20	1117	13	22	
1902	12	21	1117	13	24	
1902	12	27	1117	13	19	
1902	12	28	1117	13	21	
1902	12	29	1117	13	23	
1902	12	30	1117	13	20	
1902	12	31	1117	13	23	
