SEF	1.0.0
ID	DWR_Dolores
Name	Dolores
Lat	-36.3152
Lon	-57.6753
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085287
Vbl	Tx
Stat	maximum
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	12	1	11	17	day	29	orig.time=7am
1902	12	2	11	17	day	28	orig.time=7am
1902	12	3	11	17	day	31	orig.time=7am
1902	12	4	11	17	day	25	orig.time=7am
1902	12	5	11	17	day	28	orig.time=7am
1902	12	6	11	17	day	29	orig.time=7am
1902	12	7	11	17	day	32	orig.time=7am
1902	12	8	11	17	day	27	orig.time=7am
1902	12	9	11	17	day	24	orig.time=7am
1902	12	11	11	17	day	25	orig.time=7am
1902	12	12	11	17	day	31	orig.time=7am
1902	12	13	11	17	day	25	orig.time=7am
1902	12	15	11	17	day	25	orig.time=7am
1902	12	16	11	17	day	24	orig.time=7am
1902	12	17	11	17	day	29	orig.time=7am
1902	12	18	11	17	day	33	orig.time=7am
1902	12	19	11	17	day	28	orig.time=7am
1902	12	20	11	17	day	33	orig.time=7am
1902	12	21	11	17	day	31	orig.time=7am
1902	12	22	11	17	day	23	orig.time=7am
1902	12	23	11	17	day	31	orig.time=7am
1902	12	24	11	17	day	32	orig.time=7am
1902	12	25	11	17	day	21	orig.time=7am
1902	12	26	11	17	day	22	orig.time=7am
1902	12	27	11	17	day	30	orig.time=7am
1902	12	28	11	17	day	31	orig.time=7am
1902	12	29	11	17	day	27	orig.time=7am
1902	12	31	11	17	day	20	orig.time=7am
